Date,Open,High,Low,Close,Adj Close,Volume
2024-02-28,77.419998,77.699997,77.300003,77.430000,76.026001,2693700
2024-02-29,77.839996,77.970001,77.510002,77.639999,76.232201,3231700
2024-03-01,77.779999,78.250000,77.519997,78.150002,76.732956,2992800
2024-03-04,78.180000,78.599998,78.150002,78.389999,76.968597,3993100
2024-03-05,78.309998,78.580002,77.879997,78.120003,76.703499,3424000
2024-03-06,78.559998,78.830002,78.190002,78.379997,76.958778,3220000
2024-03-07,78.750000,78.980003,78.650002,78.760002,77.331894,3053700
2024-03-08,78.790001,78.940002,78.430000,78.430000,77.007874,3537000
2024-03-11,78.480003,78.910004,78.279999,78.879997,77.449707,3566100
2024-03-12,79.150002,79.269997,78.699997,79.019997,77.587173,2937400
2024-03-13,79.279999,79.559998,79.080002,79.260002,77.822823,3231700
2024-03-14,79.379997,79.379997,78.400002,78.830002,77.400620,3199800
2024-03-15,78.529999,78.940002,78.410004,78.559998,77.135513,3417600
2024-03-18,78.930000,78.989998,78.470001,78.720001,77.292618,4293900
2024-03-19,78.699997,79.110001,78.589996,79.070000,77.636269,3494300
2024-03-20,78.309998,79.290001,78.209999,79.239998,78.409081,4894700
2024-03-21,79.430000,79.989998,79.370003,79.870003,79.032478,3637500
2024-03-22,79.959999,80.050003,79.349998,79.379997,78.547607,3602200
2024-03-25,79.379997,79.820000,79.370003,79.400002,78.567406,3635200
2024-03-26,79.629997,79.699997,78.860001,78.870003,78.042961,4880900
2024-03-27,79.290001,80.230003,79.260002,80.230003,79.388702,3248400
2024-03-28,80.400002,80.820000,80.360001,80.629997,79.784500,3014700
2024-04-01,80.690002,80.790001,80.059998,80.139999,79.299644,4171700
2024-04-02,80.000000,80.070000,79.529999,79.730003,78.893944,3529800
2024-04-03,79.739998,79.849998,79.379997,79.529999,78.696037,3019400
2024-04-04,80.000000,80.169998,78.599998,78.730003,77.904434,3921900
2024-04-05,78.769997,79.199997,78.389999,79.010002,78.181496,3419800
2024-04-08,79.059998,79.379997,78.959999,79.099998,78.270546,2196400
2024-04-09,79.330002,79.550003,78.889999,79.550003,78.715828,3248800
2024-04-10,78.620003,78.699997,77.720001,78.129997,77.310715,6348000
2024-04-11,78.300003,78.309998,77.500000,77.930000,77.112816,4979600
2024-04-12,77.639999,77.779999,76.650002,76.809998,76.004555,3675900
2024-04-15,77.430000,77.620003,76.139999,76.419998,75.618645,4487500
2024-04-16,76.419998,76.480003,75.800003,75.930000,75.133789,3327600
2024-04-17,76.180000,76.309998,75.529999,75.809998,75.015045,2656800
2024-04-18,75.970001,76.239998,75.580002,75.809998,75.015045,2613200
2024-04-19,75.930000,76.709999,75.849998,76.650002,75.846237,3402800
2024-04-22,76.980003,77.660004,76.639999,77.239998,76.430046,3078500
2024-04-23,77.410004,77.910004,77.220001,77.769997,76.954491,2507000
2024-04-24,77.650002,78.180000,77.379997,78.129997,77.310715,2975900
2024-04-25,77.879997,78.150002,77.110001,77.559998,76.746696,3410100
2024-04-26,77.339996,77.800003,77.250000,77.480003,76.667542,2394800
2024-04-29,77.580002,78.029999,77.550003,77.919998,77.102921,2481000
2024-04-30,77.730003,77.730003,76.930000,76.989998,76.182671,2425100
2024-05-01,76.800003,77.669998,76.620003,76.889999,76.083725,3449700
2024-05-02,77.389999,77.500000,76.800003,77.269997,76.459732,2610500
